"Step","devoted-violet-4 - train_accuracy","devoted-violet-4 - train_accuracy__MIN","devoted-violet-4 - train_accuracy__MAX","devoted-violet-4 - val_accuracy","devoted-violet-4 - val_accuracy__MIN","devoted-violet-4 - val_accuracy__MAX"
"1","0.527027027027027","0.527027027027027","0.527027027027027","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"3","0.527027027027027","0.527027027027027","0.527027027027027","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"5","0.5278378378378379","0.5278378378378379","0.5278378378378379","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"7","0.5286486486486485","0.5286486486486485","0.5286486486486485","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"9","0.5294594594594594","0.5294594594594594","0.5294594594594594","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"11","0.5308108108108107","0.5308108108108107","0.5308108108108107","0.53","0.53","0.53"
"13","0.532972972972973","0.532972972972973","0.532972972972973","0.5","0.5","0.5"
"15","0.5289189189189187","0.5289189189189187","0.5289189189189187","0.5","0.5","0.5"
"17","0.5316216216216217","0.5316216216216217","0.5316216216216217","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"19","0.5286486486486485","0.5286486486486485","0.5286486486486485","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"21","0.5332432432432432","0.5332432432432432","0.5332432432432432","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"23","0.5313513513513513","0.5313513513513513","0.5313513513513513","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"25","0.5337837837837838","0.5337837837837838","0.5337837837837838","0.5","0.5","0.5"
"27","0.532972972972973","0.532972972972973","0.532972972972973","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"29","0.5340540540540539","0.5340540540540539","0.5340540540540539","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"31","0.5356756756756756","0.5356756756756756","0.5356756756756756","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"33","0.5348648648648648","0.5348648648648648","0.5348648648648648","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"35","0.538108108108108","0.538108108108108","0.538108108108108","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"37","0.5362162162162163","0.5362162162162163","0.5362162162162163","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"39","0.5337837837837839","0.5337837837837839","0.5337837837837839","0.53","0.53","0.53"
"41","0.5416216216216216","0.5416216216216216","0.5416216216216216","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"43","0.5383783783783782","0.5383783783783782","0.5383783783783782","0.5","0.5","0.5"
"45","0.5329729729729732","0.5329729729729732","0.5329729729729732","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"47","0.5402702702702701","0.5402702702702701","0.5402702702702701","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"49","0.537027027027027","0.537027027027027","0.537027027027027","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"51","0.5397297297297297","0.5397297297297297","0.5397297297297297","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"53","0.5394594594594595","0.5394594594594595","0.5394594594594595","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"55","0.5408108108108106","0.5408108108108106","0.5408108108108106","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"57","0.5383783783783784","0.5383783783783784","0.5383783783783784","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"59","0.5421621621621622","0.5421621621621622","0.5421621621621622","0.5","0.5","0.5"
"61","0.5367567567567566","0.5367567567567566","0.5367567567567566","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"63","0.5391891891891891","0.5391891891891891","0.5391891891891891","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"65","0.5437837837837837","0.5437837837837837","0.5437837837837837","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"67","0.5432432432432432","0.5432432432432432","0.5432432432432432","0.5","0.5","0.5"
