"Step","stilted-spaceship-1 - train_accuracy","stilted-spaceship-1 - train_accuracy__MIN","stilted-spaceship-1 - train_accuracy__MAX","stilted-spaceship-1 - val_accuracy","stilted-spaceship-1 - val_accuracy__MIN","stilted-spaceship-1 - val_accuracy__MAX"
"1","0.5286486486486488","0.5286486486486488","0.5286486486486488","0.53","0.53","0.53"
"3","0.5243243243243243","0.5243243243243243","0.5243243243243243","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"5","0.5313513513513513","0.5313513513513513","0.5313513513513513","0.5","0.5","0.5"
"7","0.5272972972972974","0.5272972972972974","0.5272972972972974","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"9","0.5305405405405406","0.5305405405405406","0.5305405405405406","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"11","0.5305405405405405","0.5305405405405405","0.5305405405405405","0.53","0.53","0.53"
"13","0.5321621621621621","0.5321621621621621","0.5321621621621621","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"15","0.5354054054054055","0.5354054054054055","0.5354054054054055","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"17","0.5310810810810813","0.5310810810810813","0.5310810810810813","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"19","0.5337837837837835","0.5337837837837835","0.5337837837837835","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"21","0.5397297297297297","0.5397297297297297","0.5397297297297297","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"23","0.5335135135135135","0.5335135135135135","0.5335135135135135","0.5","0.5","0.5"
"25","0.5345945945945947","0.5345945945945947","0.5345945945945947","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"27","0.5348648648648648","0.5348648648648648","0.5348648648648648","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"29","0.5372972972972976","0.5372972972972976","0.5372972972972976","0.53","0.53","0.53"
"31","0.5354054054054055","0.5354054054054055","0.5354054054054055","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"33","0.5413513513513512","0.5413513513513512","0.5413513513513512","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"35","0.5354054054054052","0.5354054054054052","0.5354054054054052","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"37","0.5397297297297298","0.5397297297297298","0.5397297297297298","0.53","0.53","0.53"
"39","0.5397297297297297","0.5397297297297297","0.5397297297297297","0.53","0.53","0.53"
"41","0.5418918918918919","0.5418918918918919","0.5418918918918919","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"43","0.5405405405405406","0.5405405405405406","0.5405405405405406","0.53","0.53","0.53"
"45","0.5397297297297297","0.5397297297297297","0.5397297297297297","0.53","0.53","0.53"
"47","0.5432432432432432","0.5432432432432432","0.5432432432432432","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"49","0.5418918918918919","0.5418918918918919","0.5418918918918919","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"51","0.5464864864864866","0.5464864864864866","0.5464864864864866","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"53","0.5435135135135137","0.5435135135135137","0.5435135135135137","0.5199999999999997","0.5199999999999997","0.5199999999999997"
