"Step","lilac-dew-1 - train_accuracy","lilac-dew-1 - train_accuracy__MIN","lilac-dew-1 - train_accuracy__MAX","lilac-dew-1 - val_accuracy","lilac-dew-1 - val_accuracy__MIN","lilac-dew-1 - val_accuracy__MAX"
"1","0.5272972972972972","0.5272972972972972","0.5272972972972972","0.53","0.53","0.53"
"3","0.5272972972972972","0.5272972972972972","0.5272972972972972","0.53","0.53","0.53"
"5","0.5278378378378377","0.5278378378378377","0.5278378378378377","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"7","0.5278378378378377","0.5278378378378377","0.5278378378378377","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"9","0.5294594594594594","0.5294594594594594","0.5294594594594594","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"11","0.5294594594594593","0.5294594594594593","0.5294594594594593","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"13","0.5327027027027027","0.5327027027027027","0.5327027027027027","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"15","0.5267567567567568","0.5267567567567568","0.5267567567567568","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"17","0.5327027027027026","0.5327027027027026","0.5327027027027026","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"19","0.528108108108108","0.528108108108108","0.528108108108108","0.53","0.53","0.53"
"21","0.5343243243243242","0.5343243243243242","0.5343243243243242","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"23","0.5308108108108107","0.5308108108108107","0.5308108108108107","0.59","0.59","0.59"
"25","0.5354054054054054","0.5354054054054054","0.5354054054054054","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"27","0.5302702702702702","0.5302702702702702","0.5302702702702702","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"29","0.5332432432432432","0.5332432432432432","0.5332432432432432","0.53","0.53","0.53"
"31","0.5351351351351351","0.5351351351351351","0.5351351351351351","0.53","0.53","0.53"
"33","0.5337837837837837","0.5337837837837837","0.5337837837837837","0.53","0.53","0.53"
"35","0.5370270270270271","0.5370270270270271","0.5370270270270271","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"37","0.5337837837837837","0.5337837837837837","0.5337837837837837","0.53","0.53","0.53"
"39","0.5343243243243242","0.5343243243243242","0.5343243243243242","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"41","0.5391891891891893","0.5391891891891893","0.5391891891891893","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"43","0.538108108108108","0.538108108108108","0.538108108108108","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"45","0.5327027027027029","0.5327027027027029","0.5327027027027029","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"47","0.5386486486486486","0.5386486486486486","0.5386486486486486","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"49","0.5359459459459459","0.5359459459459459","0.5359459459459459","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"51","0.5351351351351352","0.5351351351351352","0.5351351351351352","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"53","0.5381081081081082","0.5381081081081082","0.5381081081081082","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"55","0.54","0.54","0.54","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"57","0.5389189189189187","0.5389189189189187","0.5389189189189187","0.5500000000000004","0.5500000000000004","0.5500000000000004"
