"Step","summer-firefly-1 - train_accuracy","summer-firefly-1 - train_accuracy__MIN","summer-firefly-1 - train_accuracy__MAX","summer-firefly-1 - val_accuracy","summer-firefly-1 - val_accuracy__MIN","summer-firefly-1 - val_accuracy__MAX"
"95","0.5651351351351351","0.5651351351351351","0.5651351351351351","0.62","0.62","0.62"
"97","0.5635135135135136","0.5635135135135136","0.5635135135135136","0.63","0.63","0.63"
"99","0.5618918918918918","0.5618918918918918","0.5618918918918918","0.63","0.63","0.63"
"101","0.5635135135135134","0.5635135135135134","0.5635135135135134","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"103","0.5708108108108109","0.5708108108108109","0.5708108108108109","0.59","0.59","0.59"
"105","0.5621621621621621","0.5621621621621621","0.5621621621621621","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"107","0.5624324324324326","0.5624324324324326","0.5624324324324326","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"109","0.5597297297297299","0.5597297297297299","0.5597297297297299","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"111","0.5645945945945946","0.5645945945945946","0.5645945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"113","0.5683783783783783","0.5683783783783783","0.5683783783783783","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"115","0.5662162162162162","0.5662162162162162","0.5662162162162162","0.62","0.62","0.62"
"117","0.5627027027027027","0.5627027027027027","0.5627027027027027","0.59","0.59","0.59"
"119","0.5645945945945945","0.5645945945945945","0.5645945945945945","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"121","0.5654054054054054","0.5654054054054054","0.5654054054054054","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"123","0.5678378378378378","0.5678378378378378","0.5678378378378378","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"125","0.5681081081081082","0.5681081081081082","0.5681081081081082","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"127","0.5654054054054054","0.5654054054054054","0.5654054054054054","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"129","0.5645945945945948","0.5645945945945948","0.5645945945945948","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"131","0.5686486486486486","0.5686486486486486","0.5686486486486486","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"133","0.5691891891891893","0.5691891891891893","0.5691891891891893","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"135","0.5691891891891889","0.5691891891891889","0.5691891891891889","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"137","0.5672972972972972","0.5672972972972972","0.5672972972972972","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"139","0.5694594594594594","0.5694594594594594","0.5694594594594594","0.59","0.59","0.59"
"141","0.5686486486486486","0.5686486486486486","0.5686486486486486","0.59","0.59","0.59"
"143","0.5681081081081082","0.5681081081081082","0.5681081081081082","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"145","0.5713513513513515","0.5713513513513515","0.5713513513513515","0.59","0.59","0.59"
"147","0.5751351351351351","0.5751351351351351","0.5751351351351351","0.59","0.59","0.59"
"149","0.5686486486486487","0.5686486486486487","0.5686486486486487","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"151","0.571081081081081","0.571081081081081","0.571081081081081","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"153","0.5754054054054055","0.5754054054054055","0.5754054054054055","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"155","0.5710810810810811","0.5710810810810811","0.5710810810810811","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"157","0.5764864864864865","0.5764864864864865","0.5764864864864865","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"159","0.5735135135135134","0.5735135135135134","0.5735135135135134","0.59","0.59","0.59"
"161","0.5724324324324324","0.5724324324324324","0.5724324324324324","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"163","0.571891891891892","0.571891891891892","0.571891891891892","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"165","0.5786486486486485","0.5786486486486485","0.5786486486486485","0.59","0.59","0.59"
"167","0.5754054054054052","0.5754054054054052","0.5754054054054052","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"169","0.5762162162162162","0.5762162162162162","0.5762162162162162","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"171","0.5764864864864865","0.5764864864864865","0.5764864864864865","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"173","0.5789189189189188","0.5789189189189188","0.5789189189189188","0.59","0.59","0.59"
"175","0.5745945945945945","0.5745945945945945","0.5745945945945945","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"177","0.5789189189189191","0.5789189189189191","0.5789189189189191","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"179","0.572972972972973","0.572972972972973","0.572972972972973","0.59","0.59","0.59"
"181","0.5783783783783784","0.5783783783783784","0.5783783783783784","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"183","0.5767567567567566","0.5767567567567566","0.5767567567567566","0.59","0.59","0.59"
"185","0.5775675675675676","0.5775675675675676","0.5775675675675676","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"187","0.5770270270270269","0.5770270270270269","0.5770270270270269","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"189","0.5751351351351351","0.5751351351351351","0.5751351351351351","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"191","0.5840540540540541","0.5840540540540541","0.5840540540540541","0.59","0.59","0.59"
"193","0.5778378378378376","0.5778378378378376","0.5778378378378376","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"195","0.5732432432432432","0.5732432432432432","0.5732432432432432","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"197","0.5740540540540542","0.5740540540540542","0.5740540540540542","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"199","0.5732432432432432","0.5732432432432432","0.5732432432432432","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"201","0.581081081081081","0.581081081081081","0.581081081081081","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"203","0.585945945945946","0.585945945945946","0.585945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"205","0.5851351351351353","0.5851351351351353","0.5851351351351353","0.5799999999999995","0.5799999999999995","0.5799999999999995"
