01mat_2block,Epoch,vocal-vortex-1 - train_accuracy__MAX,vocal-vortex-1 - val_accuracy__MAX
,125,0.964054054,0.96
,126,0.963783784,0.97
,127,0.963243243,0.98
,128,0.966756757,0.98
,129,0.966216216,0.99
,130,0.966486486,0.99
,131,0.967297297,0.98
,132,0.965945946,0.98
,133,0.966216216,0.98
,134,0.968108108,0.98
,135,0.96972973,0.98
,136,0.969459459,0.98
,137,0.97027027,0.98
,138,0.969189189,0.98
,139,0.968378378,0.98
,140,0.969459459,0.98
,141,0.970810811,0.98
,142,0.97,0.98
,143,0.971621622,0.98
,144,0.970540541,0.98
,145,0.971081081,0.98
,146,0.971351351,0.98
,147,0.972702703,0.99
,148,0.972162162,0.99
,149,0.972702703,0.98
,150,0.973513514,0.98
,151,0.973783784,0.98
,152,0.973783784,0.98
,153,0.974054054,0.98
,154,0.973513514,0.98
,155,0.975135135,0.98
,156,0.973783784,0.98
,157,0.976216216,0.98
,158,0.975675676,0.98
,159,0.975945946,0.97
,160,0.976486486,0.96
,161,0.976756757,0.97
,162,0.978108108,0.97
,163,0.978108108,0.96
,164,0.978108108,0.97
,165,0.977567568,0.98
,166,0.978108108,0.98
,167,0.978648649,0.98
,168,0.979459459,0.98
,169,0.978378378,0.98
,170,0.978108108,0.99
,171,0.98,0.99
,172,0.977837838,0.99
,173,0.981081081,0.98
,174,0.979189189,0.98
,175,0.981081081,0.99
,176,0.98027027,0.99
,177,0.980540541,0.99
,178,0.981351351,0.98
,179,0.981351351,0.99
,180,0.982162162,0.98
,181,0.981891892,1
,182,0.980540541,1
,183,0.981891892,0.99
,184,0.981891892,1
,185,0.981351351,0.99
,186,0.982432432,1
,187,0.982162162,1
,188,0.982162162,1
,189,0.982972973,1
,190,0.982972973,1
,191,0.984864865,0.99
,192,0.984594595,1
,193,0.984054054,0.99
,194,0.984324324,1
,195,0.984324324,1
,196,0.984054054,1
,197,0.985405405,1
,198,0.983513514,1
,199,0.985135135,1
,200,0.985945946,1
,201,0.985945946,1
,202,0.984594595,1
,203,0.985405405,0.99
,204,0.984864865,0.98
,205,0.984324324,1
,206,0.985945946,0.98
,207,0.986486486,1
,208,0.986486486,1
,209,0.987027027,1
,210,0.987837838,1
,211,0.986756757,1
,212,0.986216216,1
,213,0.988378378,1
,214,0.987837838,1
,215,0.987297297,1
,216,0.987027027,1
,217,0.988108108,1
,218,0.988108108,1
,219,0.987567568,1
,220,0.987297297,1
,221,0.987297297,1
,222,0.988108108,1
,223,0.988378378,1
,224,0.988378378,1
,225,0.988108108,1
,226,0.987297297,1
,227,0.989189189,1
,228,0.988648649,1
,229,0.98972973,1
,230,0.98972973,1
,231,0.989459459,1
,232,0.98972973,1
,233,0.988648649,1
,234,0.988918919,1
,235,0.989189189,1
,236,0.989459459,1
,237,0.98972973,1
,238,0.988648649,1
,239,0.989459459,1
,240,0.99,1
,241,0.99,1
,242,0.989459459,1
,243,0.98972973,1
,244,0.98972973,1
,245,0.99,1
,246,0.98972973,1
,247,0.98972973,1
,248,0.989459459,1
,249,0.98972973,1
,250,0.99027027,1
,251,0.99,1
,252,0.989459459,1
,253,0.99027027,1
,254,0.99027027,1
,255,0.99,1
,256,0.99,1
,257,0.99027027,1
,258,0.99027027,1
,259,0.990810811,1
,260,0.99027027,1
,261,0.99027027,1
,262,0.991081081,1
,263,0.99027027,1
,264,0.99,1
,265,0.99027027,1
,266,0.990810811,1
,267,0.99027027,1
,268,0.990540541,1
,269,0.990810811,1
,270,0.99,1
,271,0.990540541,1
,272,0.98972973,1
,273,0.990540541,1
,274,0.990810811,1
,275,0.991081081,1
,276,0.991081081,1
,277,0.991081081,1
,278,0.99027027,1
,279,0.990540541,1
,280,0.99027027,1
,281,0.990540541,1
,282,0.990540541,1
,283,0.990540541,1
,284,0.991081081,1
,285,0.99,1
,286,0.991621622,1
,287,0.991351351,1
,288,0.990810811,1
,289,0.991351351,1
,290,0.992432432,1
,291,0.990540541,1
,292,0.991891892,1
,293,0.991081081,1
,294,0.991891892,1
,295,0.991621622,1
,296,0.991621622,1
,297,0.991891892,1
,298,0.991621622,1
,299,0.991621622,1
,300,0.991891892,1
,301,0.990810811,1
,302,0.991351351,1
,303,0.991621622,1
,304,0.992432432,1
,305,0.992432432,1
,306,0.991891892,1
,307,0.991891892,1
,308,0.992702703,1
,309,0.991891892,1
,310,0.992162162,1
,311,0.992432432,1
,312,0.991351351,1
,313,0.992162162,1
,314,0.992702703,1
,315,0.992702703,1
,316,0.992162162,1
,317,0.991081081,1
,318,0.992432432,1
,319,0.992972973,1
,320,0.991351351,1
,321,0.992972973,1
,322,0.993513514,1
,323,0.992162162,1
,324,0.992432432,1
,325,0.993243243,1
,326,0.993243243,1
,327,0.993783784,1
,328,0.993243243,1
,329,0.994054054,1
,330,0.994864865,1
,331,0.993783784,1
,332,0.992162162,1
,333,0.992972973,1
,334,0.992162162,1
,335,0.993243243,1
,336,0.994054054,1
,337,0.993243243,1
,338,0.993513514,1
,339,0.994324324,1
,340,0.993783784,1
,341,0.993513514,1
,342,0.993513514,1
,343,0.993783784,1
,344,0.994324324,1
,345,0.994594595,1
,346,0.993243243,1
,347,0.994864865,1
,348,0.992972973,1
,349,0.993783784,1
,350,0.995135135,1
,351,0.995945946,1
,352,0.995405405,1
,353,0.992702703,1
,354,0.995945946,1
,355,0.994324324,1
,356,0.994324324,1
,357,0.995135135,1
,358,0.994594595,1
,359,0.994594595,1
,360,0.994054054,1
,361,0.994054054,1
,362,0.994594595,1
,363,0.994864865,1
,364,0.994054054,1
,365,0.994594595,1
,366,0.996216216,1
,367,0.995675676,1
,368,0.995135135,1
,369,0.995945946,1
,370,0.995405405,1
,371,0.995405405,1
,372,0.995405405,1
,373,0.996756757,1
,374,0.995405405,1
,375,0.995945946,1
,376,0.995675676,1
,377,0.995945946,1
,378,0.996486486,1
,379,0.996216216,1
,380,0.995675676,1
,381,0.996756757,1
,382,0.996486486,1
,383,0.995135135,1
,384,0.995405405,1
,385,0.995675676,1
,386,0.996756757,1
,387,0.997027027,1
,388,0.996486486,1
,389,0.996216216,1
,390,0.996216216,1
,391,0.997297297,1
,392,0.997027027,1
,393,0.997027027,1
,394,0.996486486,1
,395,0.997297297,1
,396,0.996216216,1
,397,0.995675676,1
,398,0.997297297,1
,399,0.996756757,1
,400,0.997297297,1
,401,0.997837838,1
,402,0.997297297,1
,403,0.998108108,1
,404,0.997567568,1
,405,0.996216216,1
,406,0.995675676,1
,407,0.996756757,1
,408,0.995945946,1
,409,0.998108108,1
,410,0.997837838,1
,411,0.996486486,1
,412,0.996756757,1
,413,0.997567568,1
,414,0.997027027,1
,415,0.995675676,1
,416,0.998108108,1
,417,0.997567568,1
,418,0.995675676,1
,419,0.997297297,1
,420,0.997567568,1
,421,0.998108108,1
,422,0.997567568,1
,423,0.997027027,1
,424,0.998108108,1
,425,0.997027027,1
,426,0.997297297,1
,427,0.997027027,1
,428,0.998108108,1
,429,0.997027027,1
,430,0.997027027,1
,431,0.997837838,1
,432,0.995675676,1
,433,0.997297297,1
,434,0.998648649,1
,435,0.997837838,1
,436,0.998378378,1
,437,0.997297297,1
,438,0.997567568,1
,439,0.997567568,1
,440,0.998108108,1
,441,0.997837838,1
,442,0.996756757,1
,443,0.998378378,1
,444,0.997837838,1
,445,0.997567568,1
,446,0.998648649,1
,447,0.997567568,1
,448,0.997027027,1
,449,0.998918919,1
,450,0.998378378,1
,451,0.998108108,1
,452,0.998918919,1
,453,0.997837838,1
,454,0.998378378,1
,455,0.997297297,1
,456,0.997027027,1
,457,0.998378378,1
,458,0.997837838,1
,459,0.997837838,1
,460,0.998378378,1
,461,0.998648649,1
,462,0.998648649,1
,463,0.998648649,1
,464,0.998918919,1
,465,0.998918919,1
,466,0.999189189,1
,467,0.998648649,1
,468,0.99972973,1
,469,0.99972973,1
,470,0.998378378,1
,471,0.998648649,1
,472,0.998918919,1
,473,0.998108108,1
,474,0.999459459,1
,475,0.998648649,1
,476,0.998378378,1
,477,0.998648649,1
,478,0.998378378,1
,479,0.998648649,1
,480,0.998918919,1
,481,0.998108108,1
,482,0.998918919,1
,483,0.998918919,1
,484,0.998108108,1
,485,0.998378378,1
,486,0.998108108,1
,487,1,1
,488,0.998648649,1
,489,0.998648649,1
,490,0.998918919,1
,491,0.998918919,1
,492,0.998918919,1
,493,0.999459459,1
,494,0.998918919,1
,495,0.998378378,1
,496,0.998918919,1
,497,0.998378378,1
,498,0.99972973,1
,499,0.998648649,1
,500,0.998918919,1
,501,0.999459459,1
,502,1,1
,503,0.998918919,1
,504,0.998918919,1
,505,0.999189189,1
,506,0.999189189,1
,507,0.999459459,1
,508,0.998648649,1
,509,0.99972973,1
,510,0.998648649,1
,511,0.99972973,1
,512,0.999189189,1
,513,0.998378378,1
,514,0.999459459,1
,515,0.998648649,1
,516,0.999459459,1
,517,0.998648649,1
,518,0.998918919,1
,519,0.998648649,1
,520,0.99972973,1
,521,0.999459459,1
,522,0.998648649,1
,523,0.999189189,1
,524,0.99972973,1
,525,0.999189189,1
,526,0.999189189,1
,527,0.999459459,1
,528,0.999189189,1
,529,0.999459459,1
,530,0.99972973,1
,531,0.998648649,1
,532,0.999459459,1
,533,0.999459459,1
,534,0.999459459,1
,535,0.999189189,1
,536,0.99972973,1
,537,0.998108108,1
,538,1,1
,539,0.999189189,1
,540,0.999459459,1
,541,0.999459459,1
,542,0.99972973,1
,543,0.99972973,1
,544,0.99972973,1
,545,0.99972973,1
,546,0.99972973,1
,547,0.998918919,1
,548,0.999189189,1
,549,0.998918919,1
,550,0.998378378,1
,551,0.99972973,1
,552,0.999189189,1
,553,0.99972973,1
,554,0.99972973,1
,555,0.999459459,1
,556,0.999459459,1
,557,0.99972973,1
,558,1,1
,559,0.998918919,1
,560,0.999459459,1
,561,0.999459459,1
,562,0.999189189,1
,563,1,1
,564,1,1
,565,0.99972973,1
,566,1,1
,567,0.999459459,1
,568,0.99972973,1
,569,0.999459459,1
,570,0.999459459,1
,571,0.99972973,1
,572,0.99972973,1
,573,0.99972973,1
,574,0.999459459,1
,575,1,1
,576,0.998918919,1
,577,0.99972973,1
,578,0.999459459,1
,579,0.99972973,1
,580,1,1
,581,1,1
,582,1,1
,583,0.99972973,1
,584,0.998918919,1
,585,0.999189189,1
,586,0.99972973,1
,587,0.999459459,1
,588,1,1
,589,0.99972973,1
,590,0.999459459,1
,591,0.999459459,1
,592,0.99972973,1
,593,0.99972973,1
,594,0.99972973,1
,595,0.99972973,1
,596,1,1
,597,0.99972973,1
,598,0.998648649,1
,599,0.999459459,1
,600,0.999189189,1
,601,1,1
,602,1,1
,603,0.99972973,1
,604,1,1
,605,0.999459459,1
,606,0.99972973,1
,607,0.999459459,1
,608,0.99972973,1
,609,1,1
,610,1,1
,611,1,1
,612,0.999459459,1
,613,0.99972973,1
,614,1,1
,615,1,1
,616,1,1
,617,1,1
,618,0.99972973,1
,619,0.99972973,1
,620,0.999459459,1
,621,0.99972973,1
,622,0.999459459,1
,623,0.999459459,1
,624,1,1
,625,0.999189189,1
,626,1,1
,627,0.99972973,1
,628,1,1
,629,0.999189189,1
,630,0.99972973,1
,631,0.99972973,1
,632,0.999459459,1
,633,0.999459459,1
,634,0.99972973,1
,635,0.99972973,1
,636,1,1
,637,0.99972973,1
,638,1,1
,639,1,1
,640,0.99972973,1
,641,1,1
,642,0.99972973,1
,643,0.999189189,1
,644,1,1
,645,1,1
,646,1,1
,647,1,1
,648,0.99972973,1
,649,0.99972973,1
,650,1,1
,651,1,1
,652,0.99972973,1
,653,0.99972973,1
,654,1,1
,655,1,1
,656,1,1
,657,1,1
,658,1,1
,659,0.999459459,1
,660,1,1
,661,1,1
,662,1,1
,663,0.99972973,1
,664,0.99972973,1
,665,1,1
,666,1,1
,667,0.99972973,1
,668,1,1
,669,1,1
,670,0.99972973,1
,671,0.99972973,1
,672,1,1
,673,1,1
,674,0.99972973,1
,675,0.99972973,1
,676,1,1
,677,1,1
,678,0.99972973,1
,679,0.99972973,1
,680,1,1
,681,1,1
,682,1,1
,683,1,1
,684,1,1
,685,1,1
,686,1,1
,687,0.99972973,1
,688,0.99972973,1
,689,1,1
,690,1,1
,691,1,1
,692,0.999459459,1
,693,0.999459459,1
,694,1,1
,695,0.99972973,1
,696,0.999459459,1
,697,1,1
,698,1,1
,699,1,1
,700,1,1
,701,1,1
,702,1,1
,703,1,1
,704,1,1
,705,1,1
,706,1,1
,707,0.99972973,1
,708,1,1
,709,1,1
,710,0.99972973,1
,711,1,1
,712,1,1
,713,1,1
,714,1,1
,715,0.99972973,1
,716,1,1
,717,1,1
,718,0.999459459,1
,719,1,1
,720,1,1
,721,0.99972973,1
,722,1,1
,723,0.99972973,1
,724,1,1
,725,0.99972973,1
,726,1,1
,727,1,1
,728,0.99972973,1
,729,1,1
,730,0.99972973,1
,731,1,1
,732,0.999459459,1
,733,1,1
,734,0.99972973,1
,735,1,1
,736,1,1
,737,0.99972973,1
,738,1,1
,739,1,1
,740,0.99972973,1
,741,1,1
,742,1,1
,743,0.999459459,1
,744,0.99972973,1
,745,1,1
,746,1,1
,747,1,1
,748,0.99972973,1
,749,1,1
,750,1,1
,751,1,1
,752,1,1
,753,1,1
,754,1,1
,755,0.99972973,1
,756,1,1
,757,1,1
,758,1,1
,759,0.99972973,1
,760,0.99972973,1
,761,1,1
,762,1,1
,763,1,1
,764,1,1
,765,0.99972973,1
,766,1,1
,767,1,1
,768,0.99972973,1
,769,1,1
,770,1,1
,771,1,1
,772,1,1
,773,1,1
,774,1,1
,775,1,1
,776,1,1
,777,1,1
,778,0.99972973,1
,779,1,1
,780,0.99972973,1
,781,1,1
,782,1,1
,783,1,1
,784,1,1
,785,1,1
,786,1,1
,787,1,1
,788,1,1
,789,1,1
,790,1,1
,791,0.99972973,1
,792,1,1
,793,1,1
,794,0.999459459,1
,795,1,1
,796,0.99972973,1
,797,1,1
,798,1,1
,799,1,1
,800,1,1
,801,1,1
,802,0.99972973,1
,803,0.999459459,1
,804,1,1
,805,1,1
,806,1,1
,807,0.99972973,1
,808,1,1
,809,1,1
,810,1,1
,811,1,1
,812,0.99972973,1
,813,1,1
,814,1,1
,815,1,1
,816,1,1
,817,1,1
,818,1,1
,819,1,1
,820,1,1
,821,1,1
,822,1,1
,823,1,1
,824,1,1
,825,1,1
,826,1,1
,827,1,1
,828,1,1
,829,1,1
,830,1,1
,831,1,1
,832,1,1
,833,1,1
,834,1,1
,835,1,1
,836,1,1
,837,1,1
,838,1,1
,839,1,1
,840,1,1
,841,1,1
,842,1,1
,843,1,1
,844,1,1
,845,1,1
,846,0.99972973,1
,847,1,1
,848,1,1
,849,1,1
,850,1,1
,851,0.99972973,1
,852,1,1
,853,1,1
,854,1,1
,855,1,1
,856,1,1
,857,1,1
,858,0.99972973,1
,859,1,1
,860,1,1
,861,1,1
,862,1,1
,863,1,1
,864,1,1
,865,1,1
,866,1,1
,867,1,1
,868,1,1
,869,1,1
,870,1,1
,871,1,1
,872,0.99972973,1
,873,1,1
,874,1,1
,875,1,1
,876,1,1
,877,1,1
,878,1,1
,879,1,1
,880,0.99972973,1
,881,1,1
,882,1,1
,883,1,1
,884,1,1
,885,1,1
,886,1,1
,887,1,1
,888,1,1
,889,1,1
,890,1,1
,891,1,1
,892,1,1
,893,1,1
,894,1,1
,895,1,1
,896,1,1
,897,1,1
,898,0.99972973,1
,899,1,1
,900,1,1
,901,1,1
,902,1,1
,903,1,1
,904,1,1
,905,0.99972973,1
,906,1,1
,907,1,1
,908,1,1
,909,0.99972973,1
,910,1,1
,911,1,1
,912,1,1
,913,1,1
,914,1,1
,915,1,1
,916,1,1
,917,1,1
,918,1,1
,919,1,1
,920,1,1
,921,1,1
,922,1,1
,923,1,1
,924,1,1
,925,1,1
,926,1,1
,927,1,1
,928,1,1
,929,1,1
,930,1,1
,931,1,1
,932,0.99972973,1
,933,0.99972973,1
,934,1,1
,935,0.99972973,1
,936,1,1
,937,1,1
,938,1,1
,939,1,1
,940,1,1
,941,1,1
,942,1,1
,943,1,1
,944,1,1
,945,1,1
,946,1,1
,947,1,1
,948,1,1
,949,1,1
,950,1,1
,951,1,1
,952,1,1
,953,1,1
,954,1,1
,955,1,1
,956,1,1
,957,1,1
,958,1,1
,959,1,1
,960,1,1
,961,1,1
,962,0.99972973,1
,963,1,1
,964,0.99972973,1
,965,1,1
,966,0.99972973,1
,967,1,1
,968,1,1
,969,1,1
,970,1,1
,971,1,1
,972,0.99972973,1
,973,1,1
,974,1,1
,975,1,1
,976,1,1
,977,1,1
,978,1,1
,979,1,1
,980,1,1
,981,1,1
,982,1,1
,983,1,1
,984,1,1
,985,0.99972973,1
,986,1,1
,987,1,1
,988,1,1
,989,0.99972973,1
,990,1,1
,991,1,1
,992,1,1
,993,1,1
,994,1,1
,995,1,1
,996,0.99972973,1
,997,1,1
,998,1,1
,999,1,1
,1000,1,1
