"Step","azure-violet-1 - train_accuracy","azure-violet-1 - train_accuracy__MIN","azure-violet-1 - train_accuracy__MAX","azure-violet-1 - val_accuracy","azure-violet-1 - val_accuracy__MIN","azure-violet-1 - val_accuracy__MAX"
"1","0.5286486486486488","0.5286486486486488","0.5286486486486488","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"3","0.5240540540540539","0.5240540540540539","0.5240540540540539","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"5","0.5356756756756756","0.5356756756756756","0.5356756756756756","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"7","0.5294594594594594","0.5294594594594594","0.5294594594594594","0.53","0.53","0.53"
"9","0.5308108108108108","0.5308108108108108","0.5308108108108108","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"11","0.5318918918918919","0.5318918918918919","0.5318918918918919","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"13","0.537027027027027","0.537027027027027","0.537027027027027","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"15","0.5324324324324324","0.5324324324324324","0.5324324324324324","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"17","0.5327027027027028","0.5327027027027028","0.5327027027027028","0.5","0.5","0.5"
"19","0.5337837837837838","0.5337837837837838","0.5337837837837838","0.5","0.5","0.5"
"21","0.5386486486486486","0.5386486486486486","0.5386486486486486","0.5","0.5","0.5"
"23","0.5356756756756755","0.5356756756756755","0.5356756756756755","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"25","0.5386486486486487","0.5386486486486487","0.5386486486486487","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"27","0.5351351351351351","0.5351351351351351","0.5351351351351351","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"29","0.5362162162162162","0.5362162162162162","0.5362162162162162","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"31","0.5405405405405406","0.5405405405405406","0.5405405405405406","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"33","0.5432432432432434","0.5432432432432434","0.5432432432432434","0.53","0.53","0.53"
"35","0.5397297297297298","0.5397297297297298","0.5397297297297298","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"37","0.5440540540540542","0.5440540540540542","0.5440540540540542","0.5","0.5","0.5"
"39","0.5435135135135135","0.5435135135135135","0.5435135135135135","0.53","0.53","0.53"
"41","0.5440540540540542","0.5440540540540542","0.5440540540540542","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"43","0.5424324324324326","0.5424324324324326","0.5424324324324326","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"45","0.5418918918918918","0.5418918918918918","0.5418918918918918","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"47","0.5456756756756755","0.5456756756756755","0.5456756756756755","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"49","0.5443243243243243","0.5443243243243243","0.5443243243243243","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"51","0.5427027027027026","0.5427027027027026","0.5427027027027026","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"53","0.544864864864865","0.544864864864865","0.544864864864865","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"55","0.5481081081081082","0.5481081081081082","0.5481081081081082","0.5","0.5","0.5"
"57","0.5454054054054054","0.5454054054054054","0.5454054054054054","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"59","0.5470270270270271","0.5470270270270271","0.5470270270270271","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"61","0.5448648648648647","0.5448648648648647","0.5448648648648647","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"63","0.5443243243243243","0.5443243243243243","0.5443243243243243","0.5","0.5","0.5"
"65","0.5486486486486487","0.5486486486486487","0.5486486486486487","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"67","0.5483783783783784","0.5483783783783784","0.5483783783783784","0.53","0.53","0.53"
"69","0.5445945945945947","0.5445945945945947","0.5445945945945947","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"71","0.5494594594594596","0.5494594594594596","0.5494594594594596","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"73","0.5462162162162162","0.5462162162162162","0.5462162162162162","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"75","0.5497297297297299","0.5497297297297299","0.5497297297297299","0.5","0.5","0.5"
"77","0.5537837837837838","0.5537837837837838","0.5537837837837838","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"79","0.5516216216216219","0.5516216216216219","0.5516216216216219","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"81","0.5478378378378377","0.5478378378378377","0.5478378378378377","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"83","0.5543243243243242","0.5543243243243242","0.5543243243243242","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"85","0.5516216216216219","0.5516216216216219","0.5516216216216219","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"87","0.5564864864864866","0.5564864864864866","0.5564864864864866","0.53","0.53","0.53"
"89","0.5521621621621622","0.5521621621621622","0.5521621621621622","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"91","0.5502702702702702","0.5502702702702702","0.5502702702702702","0.5","0.5","0.5"
"93","0.5524324324324325","0.5524324324324325","0.5524324324324325","0.5","0.5","0.5"
"95","0.5532432432432433","0.5532432432432433","0.5532432432432433","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"97","0.5527027027027028","0.5527027027027028","0.5527027027027028","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"99","0.5497297297297298","0.5497297297297298","0.5497297297297298","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"101","0.5548648648648649","0.5548648648648649","0.5548648648648649","0.53","0.53","0.53"
"103","0.5583783783783782","0.5583783783783782","0.5583783783783782","0.53","0.53","0.53"
"105","0.5583783783783784","0.5583783783783784","0.5583783783783784","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"107","0.5597297297297298","0.5597297297297298","0.5597297297297298","0.53","0.53","0.53"
"109","0.5621621621621621","0.5621621621621621","0.5621621621621621","0.53","0.53","0.53"
"111","0.5627027027027027","0.5627027027027027","0.5627027027027027","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"113","0.5583783783783783","0.5583783783783783","0.5583783783783783","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"115","0.558918918918919","0.558918918918919","0.558918918918919","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"117","0.5586486486486487","0.5586486486486487","0.5586486486486487","0.53","0.53","0.53"
"119","0.5610810810810811","0.5610810810810811","0.5610810810810811","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"121","0.5602702702702702","0.5602702702702702","0.5602702702702702","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"123","0.5667567567567567","0.5667567567567567","0.5667567567567567","0.53","0.53","0.53"
"125","0.568918918918919","0.568918918918919","0.568918918918919","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"127","0.57","0.57","0.57","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"129","0.5637837837837839","0.5637837837837839","0.5637837837837839","0.53","0.53","0.53"
"131","0.5683783783783785","0.5683783783783785","0.5683783783783785","0.53","0.53","0.53"
"133","0.5662162162162162","0.5662162162162162","0.5662162162162162","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"135","0.5702702702702702","0.5702702702702702","0.5702702702702702","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"137","0.5675675675675674","0.5675675675675674","0.5675675675675674","0.53","0.53","0.53"
"139","0.5718918918918919","0.5718918918918919","0.5718918918918919","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"141","0.5678378378378377","0.5678378378378377","0.5678378378378377","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"143","0.5691891891891891","0.5691891891891891","0.5691891891891891","0.53","0.53","0.53"
"145","0.5778378378378378","0.5778378378378378","0.5778378378378378","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"147","0.5756756756756755","0.5756756756756755","0.5756756756756755","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"149","0.5735135135135135","0.5735135135135135","0.5735135135135135","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"151","0.5683783783783783","0.5683783783783783","0.5683783783783783","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"153","0.5735135135135134","0.5735135135135134","0.5735135135135134","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"155","0.5727027027027025","0.5727027027027025","0.5727027027027025","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"157","0.5783783783783784","0.5783783783783784","0.5783783783783784","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"159","0.5743243243243245","0.5743243243243245","0.5743243243243245","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"161","0.5816216216216217","0.5816216216216217","0.5816216216216217","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"163","0.578918918918919","0.578918918918919","0.578918918918919","0.59","0.59","0.59"
"165","0.574054054054054","0.574054054054054","0.574054054054054","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"167","0.5710810810810811","0.5710810810810811","0.5710810810810811","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"169","0.5764864864864864","0.5764864864864864","0.5764864864864864","0.59","0.59","0.59"
"171","0.5802702702702701","0.5802702702702701","0.5802702702702701","0.59","0.59","0.59"
"173","0.5778378378378377","0.5778378378378377","0.5778378378378377","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"175","0.5783783783783785","0.5783783783783785","0.5783783783783785","0.59","0.59","0.59"
"177","0.5718918918918919","0.5718918918918919","0.5718918918918919","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"179","0.5767567567567569","0.5767567567567569","0.5767567567567569","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"181","0.5837837837837838","0.5837837837837838","0.5837837837837838","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"183","0.5808108108108108","0.5808108108108108","0.5808108108108108","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"185","0.5824324324324323","0.5824324324324323","0.5824324324324323","0.59","0.59","0.59"
"187","0.5832432432432431","0.5832432432432431","0.5832432432432431","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"189","0.5862162162162161","0.5862162162162161","0.5862162162162161","0.59","0.59","0.59"
"191","0.5840540540540541","0.5840540540540541","0.5840540540540541","0.59","0.59","0.59"
"193","0.5854054054054054","0.5854054054054054","0.5854054054054054","0.59","0.59","0.59"
"195","0.5829729729729731","0.5829729729729731","0.5829729729729731","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"197","0.5816216216216216","0.5816216216216216","0.5816216216216216","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"199","0.5891891891891892","0.5891891891891892","0.5891891891891892","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"201","0.5870270270270269","0.5870270270270269","0.5870270270270269","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"203","0.5878378378378378","0.5878378378378378","0.5878378378378378","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"205","0.5881081081081082","0.5881081081081082","0.5881081081081082","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"207","0.5902702702702701","0.5902702702702701","0.5902702702702701","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"209","0.5883783783783783","0.5883783783783783","0.5883783783783783","0.59","0.59","0.59"
"211","0.5859459459459462","0.5859459459459462","0.5859459459459462","0.59","0.59","0.59"
"213","0.6016216216216215","0.6016216216216215","0.6016216216216215","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"215","0.5918918918918918","0.5918918918918918","0.5918918918918918","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"217","0.5975675675675675","0.5975675675675675","0.5975675675675675","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"219","0.5970270270270268","0.5970270270270268","0.5970270270270268","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"221","0.5940540540540542","0.5940540540540542","0.5940540540540542","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"223","0.5989189189189187","0.5989189189189187","0.5989189189189187","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"225","0.5972972972972972","0.5972972972972972","0.5972972972972972","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"227","0.6005405405405404","0.6005405405405404","0.6005405405405404","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"229","0.5964864864864866","0.5964864864864866","0.5964864864864866","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"231","0.5991891891891893","0.5991891891891893","0.5991891891891893","0.59","0.59","0.59"
"233","0.5994594594594593","0.5994594594594593","0.5994594594594593","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"235","0.6035135135135135","0.6035135135135135","0.6035135135135135","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"237","0.6089189189189189","0.6089189189189189","0.6089189189189189","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"239","0.6062162162162162","0.6062162162162162","0.6062162162162162","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"241","0.6043243243243243","0.6043243243243243","0.6043243243243243","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"243","0.6078378378378378","0.6078378378378378","0.6078378378378378","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"245","0.6016216216216217","0.6016216216216217","0.6016216216216217","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"247","0.6024324324324324","0.6024324324324324","0.6024324324324324","0.59","0.59","0.59"
"249","0.6048648648648648","0.6048648648648648","0.6048648648648648","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"251","0.6002702702702702","0.6002702702702702","0.6002702702702702","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"253","0.6094594594594593","0.6094594594594593","0.6094594594594593","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"255","0.6072972972972973","0.6072972972972973","0.6072972972972973","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"257","0.6086486486486486","0.6086486486486486","0.6086486486486486","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"259","0.6045945945945944","0.6045945945945944","0.6045945945945944","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"261","0.6072972972972973","0.6072972972972973","0.6072972972972973","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"263","0.6043243243243244","0.6043243243243244","0.6043243243243244","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"265","0.6102702702702704","0.6102702702702704","0.6102702702702704","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"267","0.6127027027027027","0.6127027027027027","0.6127027027027027","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"269","0.6089189189189188","0.6089189189189188","0.6089189189189188","0.62","0.62","0.62"
"271","0.621081081081081","0.621081081081081","0.621081081081081","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"273","0.6243243243243243","0.6243243243243243","0.6243243243243243","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"275","0.6194594594594592","0.6194594594594592","0.6194594594594592","0.59","0.59","0.59"
"277","0.6194594594594595","0.6194594594594595","0.6194594594594595","0.59","0.59","0.59"
"279","0.6205405405405406","0.6205405405405406","0.6205405405405406","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"281","0.6156756756756756","0.6156756756756756","0.6156756756756756","0.59","0.59","0.59"
"283","0.6167567567567567","0.6167567567567567","0.6167567567567567","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"285","0.6210810810810811","0.6210810810810811","0.6210810810810811","0.62","0.62","0.62"
"287","0.6237837837837839","0.6237837837837839","0.6237837837837839","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"289","0.6245945945945944","0.6245945945945944","0.6245945945945944","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"291","0.6235135135135135","0.6235135135135135","0.6235135135135135","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"293","0.6324324324324325","0.6324324324324325","0.6324324324324325","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"295","0.6243243243243245","0.6243243243243245","0.6243243243243245","0.63","0.63","0.63"
"297","0.6281081081081082","0.6281081081081082","0.6281081081081082","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"299","0.6335135135135137","0.6335135135135137","0.6335135135135137","0.62","0.62","0.62"
"301","0.6272972972972974","0.6272972972972974","0.6272972972972974","0.62","0.62","0.62"
"303","0.6278378378378376","0.6278378378378376","0.6278378378378376","0.62","0.62","0.62"
"305","0.625945945945946","0.625945945945946","0.625945945945946","0.62","0.62","0.62"
"307","0.6421621621621623","0.6421621621621623","0.6421621621621623","0.62","0.62","0.62"
"309","0.6232432432432432","0.6232432432432432","0.6232432432432432","0.63","0.63","0.63"
"311","0.6294594594594592","0.6294594594594592","0.6294594594594592","0.62","0.62","0.62"
"313","0.6291891891891893","0.6291891891891893","0.6291891891891893","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"315","0.6278378378378381","0.6278378378378381","0.6278378378378381","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"317","0.6313513513513512","0.6313513513513512","0.6313513513513512","0.62","0.62","0.62"
"319","0.6386486486486487","0.6386486486486487","0.6386486486486487","0.63","0.63","0.63"
"321","0.6416216216216216","0.6416216216216216","0.6416216216216216","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"323","0.6389189189189189","0.6389189189189189","0.6389189189189189","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"325","0.6405405405405404","0.6405405405405404","0.6405405405405404","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"327","0.6443243243243244","0.6443243243243244","0.6443243243243244","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"329","0.6386486486486486","0.6386486486486486","0.6386486486486486","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"331","0.6432432432432431","0.6432432432432431","0.6432432432432431","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"333","0.6394594594594597","0.6394594594594597","0.6394594594594597","0.62","0.62","0.62"
"335","0.6364864864864865","0.6364864864864865","0.6364864864864865","0.62","0.62","0.62"
"337","0.6394594594594596","0.6394594594594596","0.6394594594594596","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"339","0.6448648648648648","0.6448648648648648","0.6448648648648648","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"341","0.6491891891891892","0.6491891891891892","0.6491891891891892","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"343","0.6443243243243243","0.6443243243243243","0.6443243243243243","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"345","0.6532432432432433","0.6532432432432433","0.6532432432432433","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"347","0.6494594594594595","0.6494594594594595","0.6494594594594595","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"349","0.6548648648648647","0.6548648648648647","0.6548648648648647","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"351","0.6551351351351353","0.6551351351351353","0.6551351351351353","0.62","0.62","0.62"
"353","0.6532432432432432","0.6532432432432432","0.6532432432432432","0.63","0.63","0.63"
"355","0.6545945945945949","0.6545945945945949","0.6545945945945949","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"357","0.6575675675675677","0.6575675675675677","0.6575675675675677","0.63","0.63","0.63"
"359","0.6597297297297298","0.6597297297297298","0.6597297297297298","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"361","0.6600000000000001","0.6600000000000001","0.6600000000000001","0.63","0.63","0.63"
"363","0.6575675675675676","0.6575675675675676","0.6575675675675676","0.63","0.63","0.63"
"365","0.6543243243243245","0.6543243243243245","0.6543243243243245","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"367","0.6567567567567568","0.6567567567567568","0.6567567567567568","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"369","0.6627027027027027","0.6627027027027027","0.6627027027027027","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"371","0.6564864864864864","0.6564864864864864","0.6564864864864864","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"373","0.6645945945945945","0.6645945945945945","0.6645945945945945","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"375","0.6637837837837838","0.6637837837837838","0.6637837837837838","0.62","0.62","0.62"
"377","0.6705405405405405","0.6705405405405405","0.6705405405405405","0.63","0.63","0.63"
"379","0.6743243243243242","0.6743243243243242","0.6743243243243242","0.63","0.63","0.63"
