"Step","floral-microwave-1 - train_accuracy","floral-microwave-1 - train_accuracy__MIN","floral-microwave-1 - train_accuracy__MAX","floral-microwave-1 - val_accuracy","floral-microwave-1 - val_accuracy__MIN","floral-microwave-1 - val_accuracy__MAX"
"1","0.5275675675675675","0.5275675675675675","0.5275675675675675","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"3","0.5405405405405406","0.5405405405405406","0.5405405405405406","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"5","0.5418918918918919","0.5418918918918919","0.5418918918918919","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"7","0.5464864864864863","0.5464864864864863","0.5464864864864863","0.62","0.62","0.62"
"9","0.5527027027027027","0.5527027027027027","0.5527027027027027","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"11","0.5572972972972974","0.5572972972972974","0.5572972972972974","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"13","0.5581081081081081","0.5581081081081081","0.5581081081081081","0.66","0.66","0.66"
"15","0.56","0.56","0.56","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"17","0.5616216216216214","0.5616216216216214","0.5616216216216214","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"19","0.5648648648648649","0.5648648648648649","0.5648648648648649","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"21","0.5632432432432434","0.5632432432432434","0.5632432432432434","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"23","0.5659459459459457","0.5659459459459457","0.5659459459459457","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"25","0.5662162162162162","0.5662162162162162","0.5662162162162162","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"27","0.5645945945945946","0.5645945945945946","0.5645945945945946","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"29","0.5659459459459459","0.5659459459459459","0.5659459459459459","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"31","0.5686486486486487","0.5686486486486487","0.5686486486486487","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"33","0.5659459459459459","0.5659459459459459","0.5659459459459459","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"35","0.5670270270270269","0.5670270270270269","0.5670270270270269","0.66","0.66","0.66"
"37","0.567027027027027","0.567027027027027","0.567027027027027","0.66","0.66","0.66"
"39","0.5672972972972974","0.5672972972972974","0.5672972972972974","0.66","0.66","0.66"
"41","0.571891891891892","0.571891891891892","0.571891891891892","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"43","0.5637837837837839","0.5637837837837839","0.5637837837837839","0.66","0.66","0.66"
"45","0.5705405405405405","0.5705405405405405","0.5705405405405405","0.63","0.63","0.63"
"47","0.57","0.57","0.57","0.59","0.59","0.59"
"49","0.5678378378378379","0.5678378378378379","0.5678378378378379","0.59","0.59","0.59"
"51","0.5727027027027027","0.5727027027027027","0.5727027027027027","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"53","0.5789189189189189","0.5789189189189189","0.5789189189189189","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"55","0.5818918918918919","0.5818918918918919","0.5818918918918919","0.62","0.62","0.62"
"57","0.5889189189189189","0.5889189189189189","0.5889189189189189","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"59","0.585135135135135","0.585135135135135","0.585135135135135","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"61","0.5883783783783784","0.5883783783783784","0.5883783783783784","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"63","0.5902702702702701","0.5902702702702701","0.5902702702702701","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"65","0.5856756756756757","0.5856756756756757","0.5856756756756757","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"67","0.5948648648648648","0.5948648648648648","0.5948648648648648","0.5399999999999995","0.5399999999999995","0.5399999999999995"
