"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"81","0.5686486486486485","0.5686486486486485","0.5686486486486485","0.63","0.63","0.63"
"83","0.5978378378378377","0.5978378378378377","0.5978378378378377","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"85","0.5921621621621622","0.5921621621621622","0.5921621621621622","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"87","0.5935135135135133","0.5935135135135133","0.5935135135135133","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"89","0.5902702702702701","0.5902702702702701","0.5902702702702701","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"91","0.591891891891892","0.591891891891892","0.591891891891892","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"93","0.5983783783783785","0.5983783783783785","0.5983783783783785","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"95","0.5851351351351353","0.5851351351351353","0.5851351351351353","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"97","0.585135135135135","0.585135135135135","0.585135135135135","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"99","0.5929729729729729","0.5929729729729729","0.5929729729729729","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"101","0.5929729729729729","0.5929729729729729","0.5929729729729729","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"103","0.6070270270270272","0.6070270270270272","0.6070270270270272","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"105","0.6072972972972973","0.6072972972972973","0.6072972972972973","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"107","0.6064864864864865","0.6064864864864865","0.6064864864864865","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"109","0.6059459459459458","0.6059459459459458","0.6059459459459458","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"111","0.6181081081081083","0.6181081081081083","0.6181081081081083","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"113","0.6043243243243244","0.6043243243243244","0.6043243243243244","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"115","0.6186486486486488","0.6186486486486488","0.6186486486486488","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"117","0.604054054054054","0.604054054054054","0.604054054054054","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"119","0.6194594594594595","0.6194594594594595","0.6194594594594595","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"121","0.631891891891892","0.631891891891892","0.631891891891892","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"123","0.6248648648648648","0.6248648648648648","0.6248648648648648","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"125","0.622972972972973","0.622972972972973","0.622972972972973","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"127","0.6397297297297296","0.6397297297297296","0.6397297297297296","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"129","0.627837837837838","0.627837837837838","0.627837837837838","0.75","0.75","0.75"
"131","0.6454054054054055","0.6454054054054055","0.6454054054054055","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"133","0.6283783783783784","0.6283783783783784","0.6283783783783784","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"135","0.6345945945945946","0.6345945945945946","0.6345945945945946","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"137","0.6472972972972972","0.6472972972972972","0.6472972972972972","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"139","0.6513513513513515","0.6513513513513515","0.6513513513513515","0.8200000000000002","0.8200000000000002","0.8200000000000002"
"141","0.6445945945945947","0.6445945945945947","0.6445945945945947","0.8200000000000002","0.8200000000000002","0.8200000000000002"
"143","0.6521621621621623","0.6521621621621623","0.6521621621621623","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"145","0.6645945945945946","0.6645945945945946","0.6645945945945946","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"147","0.6602702702702702","0.6602702702702702","0.6602702702702702","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"149","0.6800000000000002","0.6800000000000002","0.6800000000000002","0.8099999999999996","0.8099999999999996","0.8099999999999996"
