audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,69,0.659986816,0.619512195,,,69,0.601344759,0.582439024,,,,,,,,,,
,70,0.658932103,0.632195122,,,70,0.600105471,0.605853659,,,,,,,,,,
,71,0.663441002,0.659512195,,,71,0.603796968,0.596097561,,,,,,,,,,
,72,0.671456823,0.650731707,,,72,0.608859591,0.59804878,,,,,,,,,,
,73,0.663625577,0.64097561,,,73,0.607673039,0.59804878,,,,,,,,,,
,74,0.674357284,0.651707317,,,74,0.61276203,0.603902439,,,,,,,,,,
,75,0.670771259,0.667317073,,,75,0.610520765,0.618536585,,,,,,,,,,
,76,0.675728411,0.683902439,,,76,0.613816744,0.620487805,,,,,,,,,,
,77,0.677178642,0.701463415,,,77,0.614238629,0.626341463,,,,,,,,,,
,78,0.681502966,0.691707317,,,78,0.61713909,0.603902439,,,,,,,,,,
,79,0.685220831,0.660487805,,,79,0.621437047,0.60195122,,,,,,,,,,
,80,0.683981543,0.683902439,,,80,0.623256427,0.586341463,,,,,,,,,,
,81,0.68693474,0.661463415,,,81,0.621147001,0.604878049,,,,,,,,,,
,82,0.686539222,0.68097561,,,82,0.625023072,0.6,,,,,,,,,,
,83,0.693183916,0.699512195,,,83,0.630085695,0.616585366,,,,,,,,,,
,84,0.686539222,0.688780488,,,84,0.624100198,0.633170732,,,,,,,,,,
,85,0.687330257,0.700487805,,,85,0.625576796,0.624390244,,,,,,,,,,
,86,0.69276203,0.723902439,,,86,0.63100857,0.647804878,,,,,,,,,,
,87,0.697824654,0.708292683,,,87,0.637600527,0.650731707,,,,,,,,,,
,88,0.698352011,0.723902439,,,88,0.638681608,0.643902439,,,,,,,,,,
,89,0.704126566,0.730731707,,,89,0.64195122,0.652682927,,,,,,,,,,
,90,0.69969677,0.706341463,,,90,0.637916941,0.642926829,,,,,,,,,,
,91,0.698562953,0.732682927,,,91,0.637099539,0.64,,,,,,,,,,
,92,0.699828609,0.743414634,,,92,0.636018457,0.643902439,,,,,,,,,,
,93,0.697719183,0.734634146,,,93,0.633091628,0.644878049,,,,,,,,,,
,94,0.701568886,0.755121951,,,94,0.641371127,0.670243902,,,,,,,,,,
,95,0.700988794,0.724878049,,,95,0.641107449,0.658536585,,,,,,,,,,
,96,0.7056559,0.729756098,,,96,0.643506922,0.654634146,,,,,,,,,,
,97,0.708134476,0.743414634,,,97,0.645009888,0.659512195,,,,,,,,,,
,98,0.712089651,0.749268293,,,98,0.647804878,0.674146341,,,,,,,,,,
,99,0.707791694,0.743414634,,,99,0.644429796,0.687804878,,,,,,,,,,
,100,0.710982202,0.747317073,,,100,0.644034278,0.709268293,,,,,,,,,,
,101,0.713592617,0.727804878,,,101,0.647277521,0.673170732,,,,,,,,,,
,102,0.710586684,0.722926829,,,102,0.648174028,0.669268293,,,,,,,,,,
,103,0.713091628,0.735609756,,,103,0.646354647,0.671219512,,,,,,,,,,
,104,0.717468688,0.740487805,,,104,0.652129202,0.689756098,,,,,,,,,,
,105,0.714251813,0.723902439,,,105,0.651285432,0.671219512,,,,,,,,,,
,106,0.716255768,0.736585366,,,106,0.652471984,0.696585366,,,,,,,,,,
,107,0.717152274,0.757073171,,,107,0.654080422,0.682926829,,,,,,,,,,
,108,0.717363217,0.732682927,,,108,0.651786421,0.686829268,,,,,,,,,,
,109,0.716413975,0.710243902,,,109,0.651839156,0.657560976,,,,,,,,,,
,110,0.719525379,0.740487805,,,110,0.656163481,0.670243902,,,,,,,,,,
,111,0.723480554,0.735609756,,,111,0.660593276,0.669268293,,,,,,,,,,
,112,0.722056691,0.756097561,,,112,0.661199736,0.699512195,,,,,,,,,,
,113,0.724508899,0.751219512,,,113,0.662544496,0.675121951,,,,,,,,,,
,114,0.717943309,0.723902439,,,114,0.656796309,0.657560976,,,,,,,,,,
,115,0.729545155,0.735609756,,,115,0.663493738,0.674146341,,,,,,,,,,
,116,0.725431773,0.742439024,,,116,0.661806196,0.674146341,,,,,,,,,,
,117,0.726038233,0.737560976,,,117,0.663941991,0.686829268,,,,,,,,,,
,118,0.72814766,0.752195122,,,118,0.667580751,0.712195122,,,,,,,,,,
,119,0.725827291,0.745365854,,,119,0.663071852,0.714146341,,,,,,,,,,
,120,0.731048121,0.766829268,,,120,0.666947924,0.708292683,,,,,,,,,,
,121,0.733078444,0.766829268,,,121,0.669953856,0.72097561,,,,,,,,,,
,122,0.727883982,0.76,,,122,0.665735003,0.717073171,,,,,,,,,,
,123,0.728121292,0.741463415,,,123,0.66663151,0.689756098,,,,,,,,,,
,124,0.729492419,0.751219512,,,124,0.666077785,0.677073171,,,,,,,,,,
,125,0.735187871,0.756097561,,,125,0.672063283,0.696585366,,,,,,,,,,
,126,0.739854977,0.750243902,,,126,0.676519446,0.687804878,,,,,,,,,,
,127,0.738984838,0.770731707,,,127,0.677099539,0.690731707,,,,,,,,,,
,128,0.738984838,0.764878049,,,128,0.676545814,0.693658537,,,,,,,,,,
,129,0.743810152,0.774634146,,,129,0.68036915,0.690731707,,,,,,,,,,
,130,0.741990771,0.771707317,,,130,0.679525379,0.706341463,,,,,,,,,,
,131,0.743203691,0.769756098,,,131,0.681845748,0.701463415,,,,,,,,,,
,132,0.741305208,0.789268293,,,132,0.680263678,0.699512195,,,,,,,,,,
,133,0.743994726,0.802926829,,,133,0.680553724,0.709268293,,,,,,,,,,
,134,0.744047462,0.781463415,,,134,0.682636783,0.706341463,,,,,,,,,,
,135,0.742623599,0.773658537,,,135,0.678892551,0.709268293,,,,,,,,,,
,136,0.742307185,0.777560976,,,136,0.677363217,0.700487805,,,,,,,,,,
,137,0.745234015,0.775609756,,,137,0.682135794,0.713170732,,,,,,,,,,
,138,0.747396177,0.797073171,,,138,0.683612393,0.727804878,,,,,,,,,,
,139,0.748767304,0.811707317,,,139,0.684482531,0.730731707,,,,,,,,,,
,140,0.749030982,0.80097561,,,140,0.685299934,0.723902439,,,,,,,,,,
,141,0.750955834,0.793170732,,,141,0.68717205,0.706341463,,,,,,,,,,
,142,0.749347396,0.785365854,,,142,0.686987475,0.706341463,,,,,,,,,,
,143,0.750323006,0.780487805,,,143,0.685721819,0.71804878,,,,,,,,,,
,144,0.745682268,0.765853659,,,144,0.680922874,0.685853659,,,,,,,,,,
,145,0.750243902,0.768780488,,,145,0.686328279,0.708292683,,,,,,,,,,
,146,0.751061305,0.806829268,,,146,0.687303889,0.736585366,,,,,,,,,,
,147,0.752907053,0.814634146,,,147,0.688094924,0.72195122,,,,,,,,,,
,148,0.754172709,0.790243902,,,148,0.691021753,0.728780488,,,,,,,,,,
,149,0.751483191,0.813658537,,,149,0.687145682,0.741463415,,,,,,,,,,
,150,0.749452868,0.793170732,,,150,0.689096902,0.736585366,,,,,,,,,,
,151,0.757600527,0.784390244,,,151,0.693183916,0.709268293,,,,,,,,,,
,152,0.758707976,0.79902439,,,152,0.699011206,0.72,,,,,,,,,,
,153,0.753487146,0.777560976,,,153,0.692972973,0.72,,,,,,,,,,
,154,0.759604483,0.79902439,,,154,0.696875412,0.71804878,,,,,,,,,,
,155,0.765985498,0.806829268,,,155,0.702359921,0.732682927,,,,,,,,,,
,156,0.755886618,0.80195122,,,156,0.694924192,0.729756098,,,,,,,,,,
,157,0.760580092,0.805853659,,,157,0.700962426,0.726829268,,,,,,,,,,
,158,0.758365194,0.808780488,,,158,0.696268952,0.730731707,,,,,,,,,,
,159,0.758945287,0.778536585,,,159,0.697323665,0.703414634,,,,,,,,,,
,160,0.760210943,0.79902439,,,160,0.699406724,0.72,,,,,,,,,,
,161,0.763823336,0.79804878,,,161,0.700566908,0.725853659,,,,,,,,,,
