"Step","valiant-frost-4 - val_accuracy","valiant-frost-4 - val_accuracy__MIN","valiant-frost-4 - val_accuracy__MAX","valiant-frost-4 - train_accuracy","valiant-frost-4 - train_accuracy__MIN","valiant-frost-4 - train_accuracy__MAX"
"1","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.5283783783783782","0.5283783783783782","0.5283783783783782"
"3","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.531081081081081","0.531081081081081","0.531081081081081"
"5","0.5100000000000001","0.5100000000000001","0.5100000000000001","0.5337837837837838","0.5337837837837838","0.5337837837837838"
"7","0.5100000000000001","0.5100000000000001","0.5100000000000001","0.5283783783783783","0.5283783783783783","0.5283783783783783"
"9","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.5291891891891891","0.5291891891891891","0.5291891891891891"
"11","0.5","0.5","0.5","0.5321621621621622","0.5321621621621622","0.5321621621621622"
"13","0.53","0.53","0.53","0.5343243243243243","0.5343243243243243","0.5343243243243243"
"15","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.5367567567567567","0.5367567567567567","0.5367567567567567"
"17","0.5","0.5","0.5","0.5332432432432432","0.5332432432432432","0.5332432432432432"
"19","0.53","0.53","0.53","0.5343243243243243","0.5343243243243243","0.5343243243243243"
"21","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.5389189189189192","0.5389189189189192","0.5389189189189192"
"23","0.5399999999999995","0.5399999999999995","0.5399999999999995","0.5348648648648647","0.5348648648648647","0.5348648648648647"
"25","0.5399999999999995","0.5399999999999995","0.5399999999999995","0.5367567567567568","0.5367567567567568","0.5367567567567568"
"27","0.5199999999999997","0.5199999999999997","0.5199999999999997","0.5329729729729729","0.5329729729729729","0.5329729729729729"
"29","0.5100000000000001","0.5100000000000001","0.5100000000000001","0.5364864864864866","0.5364864864864866","0.5364864864864866"
"31","0.53","0.53","0.53","0.5394594594594592","0.5394594594594592","0.5394594594594592"
"33","0.5399999999999995","0.5399999999999995","0.5399999999999995","0.5413513513513513","0.5413513513513513","0.5413513513513513"
"35","0.5500000000000004","0.5500000000000004","0.5500000000000004","0.5413513513513515","0.5413513513513515","0.5413513513513515"
"37","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5424324324324328","0.5424324324324328","0.5424324324324328"
"39","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5405405405405405","0.5405405405405405","0.5405405405405405"
"41","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5445945945945946","0.5445945945945946","0.5445945945945946"
"43","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5437837837837838","0.5437837837837838","0.5437837837837838"
"45","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5416216216216216","0.5416216216216216","0.5416216216216216"
"47","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5448648648648649","0.5448648648648649","0.5448648648648649"
"49","0.59","0.59","0.59","0.544054054054054","0.544054054054054","0.544054054054054"
"51","0.5700000000000002","0.5700000000000002","0.5700000000000002","0.5454054054054054","0.5454054054054054","0.5454054054054054"
"53","0.5700000000000002","0.5700000000000002","0.5700000000000002","0.5427027027027027","0.5427027027027027","0.5427027027027027"
"55","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5491891891891892","0.5491891891891892","0.5491891891891892"
"57","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5440540540540543","0.5440540540540543","0.5440540540540543"
"59","0.5500000000000004","0.5500000000000004","0.5500000000000004","0.5459459459459459","0.5459459459459459","0.5459459459459459"
"61","0.5500000000000004","0.5500000000000004","0.5500000000000004","0.5467567567567568","0.5467567567567568","0.5467567567567568"
"63","0.5399999999999995","0.5399999999999995","0.5399999999999995","0.5472972972972973","0.5472972972972973","0.5472972972972973"
"65","0.5500000000000004","0.5500000000000004","0.5500000000000004","0.5472972972972971","0.5472972972972971","0.5472972972972971"
"67","0.5700000000000002","0.5700000000000002","0.5700000000000002","0.5464864864864863","0.5464864864864863","0.5464864864864863"
"69","0.6000000000000003","0.6000000000000003","0.6000000000000003","0.5470270270270271","0.5470270270270271","0.5470270270270271"
"71","0.5799999999999995","0.5799999999999995","0.5799999999999995","0.5513513513513513","0.5513513513513513","0.5513513513513513"
"73","0.5700000000000002","0.5700000000000002","0.5700000000000002","0.5472972972972973","0.5472972972972973","0.5472972972972973"
"75","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5486486486486488","0.5486486486486488","0.5486486486486488"
"77","0.5700000000000002","0.5700000000000002","0.5700000000000002","0.5491891891891892","0.5491891891891892","0.5491891891891892"
