"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"51","0.5764864864864864","0.5764864864864864","0.5764864864864864","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"53","0.5721621621621622","0.5721621621621622","0.5721621621621622","0.59","0.59","0.59"
"55","0.5727027027027026","0.5727027027027026","0.5727027027027026","0.59","0.59","0.59"
"57","0.579189189189189","0.579189189189189","0.579189189189189","0.59","0.59","0.59"
"59","0.576216216216216","0.576216216216216","0.576216216216216","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"61","0.5697297297297297","0.5697297297297297","0.5697297297297297","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"63","0.5732432432432433","0.5732432432432433","0.5732432432432433","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"65","0.569189189189189","0.569189189189189","0.569189189189189","0.62","0.62","0.62"
"67","0.5821621621621621","0.5821621621621621","0.5821621621621621","0.62","0.62","0.62"
"69","0.5754054054054055","0.5754054054054055","0.5754054054054055","0.62","0.62","0.62"
"71","0.5794594594594592","0.5794594594594592","0.5794594594594592","0.63","0.63","0.63"
"73","0.5832432432432432","0.5832432432432432","0.5832432432432432","0.63","0.63","0.63"
"75","0.5802702702702702","0.5802702702702702","0.5802702702702702","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"77","0.5818918918918919","0.5818918918918919","0.5818918918918919","0.62","0.62","0.62"
"79","0.5805405405405406","0.5805405405405406","0.5805405405405406","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"81","0.5827027027027025","0.5827027027027025","0.5827027027027025","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"83","0.5827027027027029","0.5827027027027029","0.5827027027027029","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"85","0.585135135135135","0.585135135135135","0.585135135135135","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"87","0.5770270270270268","0.5770270270270268","0.5770270270270268","0.62","0.62","0.62"
"89","0.587027027027027","0.587027027027027","0.587027027027027","0.62","0.62","0.62"
"91","0.5832432432432431","0.5832432432432431","0.5832432432432431","0.62","0.62","0.62"
"93","0.5886486486486486","0.5886486486486486","0.5886486486486486","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"95","0.5837837837837838","0.5837837837837838","0.5837837837837838","0.59","0.59","0.59"
"97","0.5845945945945946","0.5845945945945946","0.5845945945945946","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"99","0.5856756756756758","0.5856756756756758","0.5856756756756758","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"101","0.5910810810810811","0.5910810810810811","0.5910810810810811","0.66","0.66","0.66"
"103","0.5940540540540542","0.5940540540540542","0.5940540540540542","0.66","0.66","0.66"
"105","0.5927027027027026","0.5927027027027026","0.5927027027027026","0.66","0.66","0.66"
"107","0.5918918918918918","0.5918918918918918","0.5918918918918918","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"109","0.6008108108108108","0.6008108108108108","0.6008108108108108","0.66","0.66","0.66"
"111","0.6013513513513513","0.6013513513513513","0.6013513513513513","0.66","0.66","0.66"
"113","0.5967567567567569","0.5967567567567569","0.5967567567567569","0.66","0.66","0.66"
"115","0.6024324324324323","0.6024324324324323","0.6024324324324323","0.66","0.66","0.66"
"117","0.5940540540540541","0.5940540540540541","0.5940540540540541","0.66","0.66","0.66"
"119","0.6000000000000001","0.6000000000000001","0.6000000000000001","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"121","0.5981081081081082","0.5981081081081082","0.5981081081081082","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"123","0.6048648648648649","0.6048648648648649","0.6048648648648649","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"125","0.6059459459459459","0.6059459459459459","0.6059459459459459","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"127","0.6086486486486486","0.6086486486486486","0.6086486486486486","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"129","0.6097297297297297","0.6097297297297297","0.6097297297297297","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"131","0.6227027027027028","0.6227027027027028","0.6227027027027028","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"133","0.6137837837837838","0.6137837837837838","0.6137837837837838","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"135","0.626216216216216","0.626216216216216","0.626216216216216","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"137","0.6216216216216217","0.6216216216216217","0.6216216216216217","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"139","0.6302702702702703","0.6302702702702703","0.6302702702702703","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"141","0.6318918918918919","0.6318918918918919","0.6318918918918919","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"143","0.6351351351351351","0.6351351351351351","0.6351351351351351","0.75","0.75","0.75"
"145","0.6437837837837838","0.6437837837837838","0.6437837837837838","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"147","0.6529729729729733","0.6529729729729733","0.6529729729729733","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"149","0.652972972972973","0.652972972972973","0.652972972972973","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"151","0.6413513513513512","0.6413513513513512","0.6413513513513512","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"153","0.6394594594594596","0.6394594594594596","0.6394594594594596","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"155","0.6589189189189189","0.6589189189189189","0.6589189189189189","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"157","0.6545945945945947","0.6545945945945947","0.6545945945945947","0.75","0.75","0.75"
"159","0.6678378378378377","0.6678378378378377","0.6678378378378377","0.75","0.75","0.75"
"161","0.6664864864864865","0.6664864864864865","0.6664864864864865","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"163","0.676756756756757","0.676756756756757","0.676756756756757","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"165","0.6900000000000002","0.6900000000000002","0.6900000000000002","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"167","0.6854054054054055","0.6854054054054055","0.6854054054054055","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"169","0.691081081081081","0.691081081081081","0.691081081081081","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"171","0.6978378378378377","0.6978378378378377","0.6978378378378377","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"173","0.7070270270270271","0.7070270270270271","0.7070270270270271","0.8200000000000002","0.8200000000000002","0.8200000000000002"
"175","0.7137837837837837","0.7137837837837837","0.7137837837837837","0.8500000000000005","0.8500000000000005","0.8500000000000005"
"177","0.7172972972972975","0.7172972972972975","0.7172972972972975","0.8299999999999992","0.8299999999999992","0.8299999999999992"
"179","0.7137837837837837","0.7137837837837837","0.7137837837837837","0.8299999999999992","0.8299999999999992","0.8299999999999992"
"181","0.7194594594594594","0.7194594594594594","0.7194594594594594","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"183","0.7140540540540539","0.7140540540540539","0.7140540540540539","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"185","0.7283783783783784","0.7283783783783784","0.7283783783783784","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"187","0.7410810810810812","0.7410810810810812","0.7410810810810812","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"189","0.7367567567567566","0.7367567567567566","0.7367567567567566","0.8799999999999997","0.8799999999999997","0.8799999999999997"
"191","0.7391891891891891","0.7391891891891891","0.7391891891891891","0.9200000000000009","0.9200000000000009","0.9200000000000009"
"193","0.7464864864864863","0.7464864864864863","0.7464864864864863","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"195","0.7632432432432432","0.7632432432432432","0.7632432432432432","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"197","0.7721621621621624","0.7721621621621624","0.7721621621621624","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"199","0.7654054054054054","0.7654054054054054","0.7654054054054054","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"201","0.7678378378378379","0.7678378378378379","0.7678378378378379","0.84","0.84","0.84"
"203","0.7827027027027028","0.7827027027027028","0.7827027027027028","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"205","0.7783783783783783","0.7783783783783783","0.7783783783783783","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"207","0.7905405405405405","0.7905405405405405","0.7905405405405405","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"209","0.7875675675675675","0.7875675675675675","0.7875675675675675","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"211","0.7816216216216215","0.7816216216216215","0.7816216216216215","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"213","0.7916216216216215","0.7916216216216215","0.7916216216216215","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"215","0.7905405405405403","0.7905405405405403","0.7905405405405403","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"217","0.7991891891891891","0.7991891891891891","0.7991891891891891","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"219","0.8008108108108107","0.8008108108108107","0.8008108108108107","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"221","0.8086486486486487","0.8086486486486487","0.8086486486486487","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"223","0.8032432432432431","0.8032432432432431","0.8032432432432431","0.98","0.98","0.98"
"225","0.8143243243243241","0.8143243243243241","0.8143243243243241","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"227","0.8281081081081083","0.8281081081081083","0.8281081081081083","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"229","0.8275675675675674","0.8275675675675674","0.8275675675675674","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"231","0.818918918918919","0.818918918918919","0.818918918918919","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"233","0.8154054054054053","0.8154054054054053","0.8154054054054053","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"235","0.8299999999999997","0.8299999999999997","0.8299999999999997","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"237","0.8367567567567566","0.8367567567567566","0.8367567567567566","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"239","0.835135135135135","0.835135135135135","0.835135135135135","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"241","0.827027027027027","0.827027027027027","0.827027027027027","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"243","0.8275675675675676","0.8275675675675676","0.8275675675675676","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"245","0.827027027027027","0.827027027027027","0.827027027027027","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"247","0.8275675675675677","0.8275675675675677","0.8275675675675677","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"249","0.8313513513513513","0.8313513513513513","0.8313513513513513","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"251","0.8381081081081081","0.8381081081081081","0.8381081081081081","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"253","0.8489189189189191","0.8489189189189191","0.8489189189189191","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"255","0.847027027027027","0.847027027027027","0.847027027027027","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"257","0.8416216216216217","0.8416216216216217","0.8416216216216217","0.98","0.98","0.98"
"259","0.8505405405405407","0.8505405405405407","0.8505405405405407","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"261","0.8427027027027026","0.8427027027027026","0.8427027027027026","0.98","0.98","0.98"
"263","0.8483783783783783","0.8483783783783783","0.8483783783783783","1","1","1"
"265","0.821891891891892","0.821891891891892","0.821891891891892","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"267","0.8554054054054052","0.8554054054054052","0.8554054054054052","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"269","0.8578378378378378","0.8578378378378378","0.8578378378378378","1","1","1"
"271","0.8767567567567571","0.8767567567567571","0.8767567567567571","1","1","1"
"273","0.8759459459459459","0.8759459459459459","0.8759459459459459","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"275","0.8535135135135135","0.8535135135135135","0.8535135135135135","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"277","0.8640540540540538","0.8640540540540538","0.8640540540540538","0.98","0.98","0.98"
"279","0.8629729729729729","0.8629729729729729","0.8629729729729729","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"281","0.8605405405405404","0.8605405405405404","0.8605405405405404","0.98","0.98","0.98"
