"Step","glamorous-meadow-1 - train_accuracy","glamorous-meadow-1 - train_accuracy__MIN","glamorous-meadow-1 - train_accuracy__MAX","glamorous-meadow-1 - val_accuracy","glamorous-meadow-1 - val_accuracy__MIN","glamorous-meadow-1 - val_accuracy__MAX"
"1","0.5291891891891892","0.5291891891891892","0.5291891891891892","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"3","0.5310810810810811","0.5310810810810811","0.5310810810810811","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"5","0.5316216216216216","0.5316216216216216","0.5316216216216216","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"7","0.5299999999999999","0.5299999999999999","0.5299999999999999","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"9","0.5297297297297298","0.5297297297297298","0.5297297297297298","0.5","0.5","0.5"
"11","0.5308108108108107","0.5308108108108107","0.5308108108108107","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"13","0.5356756756756755","0.5356756756756755","0.5356756756756755","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"15","0.5381081081081082","0.5381081081081082","0.5381081081081082","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"17","0.5351351351351351","0.5351351351351351","0.5351351351351351","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"19","0.5332432432432432","0.5332432432432432","0.5332432432432432","0.53","0.53","0.53"
"21","0.5364864864864864","0.5364864864864864","0.5364864864864864","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"23","0.5364864864864866","0.5364864864864866","0.5364864864864866","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"25","0.5354054054054056","0.5354054054054056","0.5354054054054056","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"27","0.534054054054054","0.534054054054054","0.534054054054054","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"29","0.5394594594594595","0.5394594594594595","0.5394594594594595","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"31","0.5364864864864866","0.5364864864864866","0.5364864864864866","0.53","0.53","0.53"
"33","0.5383783783783784","0.5383783783783784","0.5383783783783784","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"35","0.5413513513513514","0.5413513513513514","0.5413513513513514","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"37","0.538918918918919","0.538918918918919","0.538918918918919","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"39","0.5416216216216216","0.5416216216216216","0.5416216216216216","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"41","0.5421621621621622","0.5421621621621622","0.5421621621621622","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"43","0.5448648648648649","0.5448648648648649","0.5448648648648649","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"45","0.5372972972972974","0.5372972972972974","0.5372972972972974","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"47","0.5454054054054053","0.5454054054054053","0.5454054054054053","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"49","0.5429729729729729","0.5429729729729729","0.5429729729729729","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"51","0.5459459459459458","0.5459459459459458","0.5459459459459458","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"53","0.5486486486486488","0.5486486486486488","0.5486486486486488","0.59","0.59","0.59"
"55","0.5497297297297298","0.5497297297297298","0.5497297297297298","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"57","0.5424324324324324","0.5424324324324324","0.5424324324324324","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"59","0.5472972972972973","0.5472972972972973","0.5472972972972973","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"61","0.5478378378378377","0.5478378378378377","0.5478378378378377","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"63","0.5448648648648647","0.5448648648648647","0.5448648648648647","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"65","0.5472972972972973","0.5472972972972973","0.5472972972972973","0.53","0.53","0.53"
"67","0.5494594594594594","0.5494594594594594","0.5494594594594594","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"69","0.5478378378378379","0.5478378378378379","0.5478378378378379","0.59","0.59","0.59"
"71","0.5486486486486488","0.5486486486486488","0.5486486486486488","0.59","0.59","0.59"
"73","0.5472972972972974","0.5472972972972974","0.5472972972972974","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"75","0.5483783783783783","0.5483783783783783","0.5483783783783783","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"77","0.5505405405405408","0.5505405405405408","0.5505405405405408","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"79","0.5491891891891891","0.5491891891891891","0.5491891891891891","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"81","0.5497297297297298","0.5497297297297298","0.5497297297297298","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"83","0.5518918918918918","0.5518918918918918","0.5518918918918918","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"85","0.5510810810810812","0.5510810810810812","0.5510810810810812","0.5","0.5","0.5"
"87","0.5516216216216215","0.5516216216216215","0.5516216216216215","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"89","0.5481081081081083","0.5481081081081083","0.5481081081081083","0.5","0.5","0.5"
"91","0.552972972972973","0.552972972972973","0.552972972972973","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"93","0.5518918918918919","0.5518918918918919","0.5518918918918919","0.5","0.5","0.5"
"95","0.5508108108108107","0.5508108108108107","0.5508108108108107","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"97","0.5518918918918921","0.5518918918918921","0.5518918918918921","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"99","0.5497297297297298","0.5497297297297298","0.5497297297297298","0.53","0.53","0.53"
"101","0.5532432432432433","0.5532432432432433","0.5532432432432433","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"103","0.5548648648648649","0.5548648648648649","0.5548648648648649","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"105","0.5551351351351352","0.5551351351351352","0.5551351351351352","0.5","0.5","0.5"
"107","0.5505405405405404","0.5505405405405404","0.5505405405405404","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"109","0.5527027027027028","0.5527027027027028","0.5527027027027028","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"111","0.5554054054054053","0.5554054054054053","0.5554054054054053","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"113","0.5548648648648649","0.5548648648648649","0.5548648648648649","0.53","0.53","0.53"
"115","0.550810810810811","0.550810810810811","0.550810810810811","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"117","0.5562162162162162","0.5562162162162162","0.5562162162162162","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"119","0.5543243243243243","0.5543243243243243","0.5543243243243243","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"121","0.5545945945945947","0.5545945945945947","0.5545945945945947","0.53","0.53","0.53"
"123","0.5564864864864864","0.5564864864864864","0.5564864864864864","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"125","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"127","0.5562162162162163","0.5562162162162163","0.5562162162162163","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"129","0.555945945945946","0.555945945945946","0.555945945945946","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"131","0.5597297297297298","0.5597297297297298","0.5597297297297298","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"133","0.5586486486486488","0.5586486486486488","0.5586486486486488","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"135","0.5578378378378378","0.5578378378378378","0.5578378378378378","0.53","0.53","0.53"
"137","0.5545945945945945","0.5545945945945945","0.5545945945945945","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"139","0.5567567567567568","0.5567567567567568","0.5567567567567568","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"141","0.5578378378378378","0.5578378378378378","0.5578378378378378","0.53","0.53","0.53"
"143","0.5618918918918919","0.5618918918918919","0.5618918918918919","0.53","0.53","0.53"
"145","0.5594594594594594","0.5594594594594594","0.5594594594594594","0.53","0.53","0.53"
"147","0.5608108108108107","0.5608108108108107","0.5608108108108107","0.5199999999999997","0.5199999999999997","0.5199999999999997"
