stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,245,0.655945946,0.54
,246,0.656486486,0.54
,247,0.656216216,0.55
,248,0.66027027,0.55
,249,0.664594595,0.55
,250,0.661081081,0.56
,251,0.663783784,0.54
,252,0.656216216,0.58
,253,0.660540541,0.58
,254,0.655405405,0.58
,255,0.668378378,0.59
,256,0.670810811,0.58
,257,0.663243243,0.58
,258,0.67,0.55
,259,0.67,0.56
,260,0.669459459,0.58
,261,0.669189189,0.62
,262,0.675945946,0.62
,263,0.66972973,0.6
,264,0.661351351,0.61
,265,0.666216216,0.62
,266,0.678108108,0.62
,267,0.667567568,0.59
,268,0.676216216,0.57
,269,0.674324324,0.59
,270,0.66972973,0.6
,271,0.66972973,0.61
,272,0.670540541,0.58
,273,0.672162162,0.61
,274,0.670810811,0.61
,275,0.679459459,0.6
,276,0.67972973,0.61
,277,0.680540541,0.62
,278,0.677027027,0.6
,279,0.677837838,0.6
,280,0.69027027,0.6
,281,0.674864865,0.61
,282,0.679189189,0.62
,283,0.673513514,0.64
,284,0.687027027,0.63
,285,0.675405405,0.63
,286,0.672162162,0.67
,287,0.682162162,0.66
,288,0.679189189,0.67
,289,0.678108108,0.63
,290,0.690540541,0.63
,291,0.686756757,0.63
,292,0.682702703,0.63
,293,0.688648649,0.62
,294,0.685945946,0.59
,295,0.68,0.57
,296,0.676216216,0.57
,297,0.693243243,0.59
,298,0.688378378,0.6
,299,0.689459459,0.64
,300,0.686756757,0.6
,301,0.68972973,0.58
,302,0.685135135,0.6
,303,0.691891892,0.61
,304,0.689189189,0.62
,305,0.688108108,0.63
,306,0.690810811,0.64
,307,0.691081081,0.64
,308,0.694864865,0.62
,309,0.690540541,0.62
,310,0.69,0.64
,311,0.692162162,0.65
,312,0.689189189,0.64
,313,0.694054054,0.65
,314,0.683243243,0.61
,315,0.688648649,0.63
,316,0.68972973,0.62
,317,0.701351351,0.61
,318,0.689189189,0.59
,319,0.696216216,0.58
,320,0.702162162,0.61
,321,0.698918919,0.64
,322,0.698378378,0.63
,323,0.702432432,0.63
,324,0.704324324,0.63
,325,0.705135135,0.62
,326,0.696216216,0.63
,327,0.702702703,0.62
,328,0.703243243,0.63
,329,0.71,0.68
,330,0.703243243,0.65
,331,0.691621622,0.65
,332,0.703513514,0.65
,333,0.706756757,0.66
,334,0.705675676,0.65
,335,0.705405405,0.67
,336,0.709459459,0.65
,337,0.71027027,0.64
,338,0.706216216,0.64
,339,0.71972973,0.63
,340,0.706486486,0.64
,341,0.71,0.64
,342,0.712972973,0.64
,343,0.703513514,0.64
,344,0.716486486,0.63
,345,0.720540541,0.65
,346,0.711891892,0.64
,347,0.71027027,0.65
,348,0.708918919,0.64
,349,0.714054054,0.64
,350,0.714864865,0.66
,351,0.713513514,0.67
,352,0.708108108,0.68
,353,0.718648649,0.67
,354,0.718918919,0.68
,355,0.724594595,0.65
,356,0.718918919,0.66
,357,0.728918919,0.68
,358,0.72027027,0.67
,359,0.717027027,0.64
,360,0.719459459,0.67
,361,0.725405405,0.63
,362,0.729189189,0.67
,363,0.722972973,0.67
,364,0.717027027,0.66
,365,0.723513514,0.68
,366,0.715135135,0.68
,367,0.723243243,0.68
,368,0.73027027,0.69
,369,0.731081081,0.7
,370,0.73,0.69
,371,0.734324324,0.69
,372,0.727297297,0.71
,373,0.729459459,0.72
,374,0.727297297,0.72
,375,0.72972973,0.71
,376,0.733513514,0.7
,377,0.732432432,0.71
,378,0.731891892,0.71
,379,0.723243243,0.67
,380,0.734594595,0.67
,381,0.734054054,0.69
,382,0.732162162,0.68
,383,0.733783784,0.69
,384,0.738918919,0.7
,385,0.735135135,0.7
,386,0.735675676,0.67
,387,0.732162162,0.69
,388,0.738918919,0.67
,389,0.736216216,0.68
,390,0.749189189,0.66
,391,0.748378378,0.67
,392,0.746216216,0.68
,393,0.75027027,0.71
,394,0.742162162,0.72
,395,0.750810811,0.72
,396,0.745675676,0.73
,397,0.742432432,0.72
,398,0.746756757,0.72
,399,0.753243243,0.73
,400,0.754054054,0.75
,401,0.746216216,0.73
,402,0.754324324,0.73
,403,0.751621622,0.77
,404,0.747297297,0.74
,405,0.761621622,0.76
,406,0.752972973,0.77
,407,0.761351351,0.74
,408,0.743513514,0.76
,409,0.763783784,0.76
,410,0.774324324,0.73
,411,0.753513514,0.73
,412,0.765945946,0.72
,413,0.764054054,0.71
,414,0.771621622,0.71
,415,0.763243243,0.69
,416,0.757027027,0.72
,417,0.767297297,0.68
,418,0.763513514,0.7
,419,0.770810811,0.72
,420,0.758108108,0.7
,421,0.772432432,0.73
,422,0.767297297,0.75
,423,0.762162162,0.72
,424,0.76972973,0.75
,425,0.764864865,0.74
,426,0.777297297,0.73
,427,0.773243243,0.73
,428,0.774864865,0.74
,429,0.778378378,0.73
,430,0.778108108,0.74
,431,0.786486486,0.75
,432,0.783243243,0.75
,433,0.774594595,0.72
,434,0.784054054,0.75
,435,0.786486486,0.72
,436,0.785135135,0.74
,437,0.778108108,0.74
,438,0.779459459,0.76
,439,0.785945946,0.77
,440,0.791351351,0.76
,441,0.787567568,0.76
,442,0.790540541,0.75
,443,0.787027027,0.73
,444,0.788918919,0.74
,445,0.791081081,0.74
,446,0.795135135,0.74
,447,0.798648649,0.74
,448,0.804324324,0.75
,449,0.794594595,0.74
,450,0.793243243,0.75
,451,0.801351351,0.78
,452,0.797027027,0.77
,453,0.795675676,0.77
,454,0.792972973,0.77
,455,0.797567568,0.77
,456,0.799459459,0.76
,457,0.796486486,0.78
,458,0.792432432,0.77
,459,0.800810811,0.77
,460,0.791351351,0.78
,461,0.802702703,0.78
,462,0.793513514,0.78
,463,0.802702703,0.77
,464,0.805945946,0.77
,465,0.797027027,0.79
,466,0.805945946,0.78
,467,0.805945946,0.77
